2022-05-09T22:32:56.698957191Z stdout F {"protocol":"HTTP/1.1","downstream_local_address":"10.96.154.248:12031","user_agent":"python-requests/2.26.0","duration":585,"method":"POST","bytes_sent":23806,"upstream_host":"10.96.154.248:12031","start_time":"2022-05-09T22:32:55.179Z","connection_termination_details":null,"response_code_details":"via_upstream","upstream_service_time":"584","authority":"ts-preserve-service:14568","downstream_remote_address":"10.244.0.118:39714","x_forwarded_for":null,"bytes_received":112,"upstream_transport_failure_reason":null,"response_code":200,"path":"/api/v1/orderservice/order/tickets","requested_server_name":null,"upstream_cluster":"PassthroughCluster","route_name":"allow_any","request_id":"c5ccf371-59d8-93f2-823c-122942036948","response_flags":"-","upstream_local_address":"10.244.0.118:33946"}
2022-05-09T22:32:56.699013437Z stdout F {"requested_server_name":null,"response_code":200,"x_forwarded_for":null,"upstream_host":"10.96.119.129:12346","response_code_details":"via_upstream","authority":"ts-preserve-service:14568","bytes_sent":126,"method":"GET","duration":13,"path":"/api/v1/travelservice/train_types/D1345","route_name":"allow_any","user_agent":"python-requests/2.26.0","downstream_remote_address":"10.244.0.118:36500","protocol":"HTTP/1.1","upstream_service_time":"12","request_id":"c5ccf371-59d8-93f2-823c-122942036948","connection_termination_details":null,"bytes_received":0,"upstream_transport_failure_reason":null,"upstream_cluster":"PassthroughCluster","upstream_local_address":"10.244.0.118:51498","response_flags":"-","start_time":"2022-05-09T22:32:55.766Z","downstream_local_address":"10.96.119.129:12346"}
2022-05-09T22:32:56.699019236Z stdout F {"response_code":200,"duration":6,"response_flags":"-","upstream_transport_failure_reason":null,"requested_server_name":null,"protocol":"HTTP/1.1","response_code_details":"via_upstream","upstream_cluster":"PassthroughCluster","downstream_local_address":"10.96.5.54:15679","authority":"ts-preserve-service:14568","bytes_sent":172,"upstream_service_time":"5","user_agent":"python-requests/2.26.0","method":"GET","upstream_local_address":"10.244.0.118:52328","upstream_host":"10.96.5.54:15679","bytes_received":0,"request_id":"c5ccf371-59d8-93f2-823c-122942036948","connection_termination_details":null,"x_forwarded_for":null,"downstream_remote_address":"10.244.0.118:37128","start_time":"2022-05-09T22:32:55.780Z","path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","route_name":"allow_any"}
2022-05-09T22:32:56.69906652Z stdout F {"bytes_received":112,"route_name":"default","requested_server_name":null,"response_code_details":"via_upstream","path":"/api/v1/seatservice/seats/left_tickets","upstream_service_time":"636","x_forwarded_for":null,"protocol":"HTTP/1.1","response_code":200,"authority":"ts-preserve-service:14568","upstream_cluster":"inbound|18898||","request_id":"c5ccf371-59d8-93f2-823c-122942036948","response_flags":"-","connection_termination_details":null,"upstream_transport_failure_reason":null,"start_time":"2022-05-09T22:32:55.151Z","downstream_remote_address":"10.244.0.129:60608","upstream_local_address":"127.0.0.6:49713","downstream_local_address":"10.244.0.118:18898","bytes_sent":74,"duration":637,"method":"POST","user_agent":"python-requests/2.26.0","upstream_host":"10.244.0.118:18898"}
2022-05-09T22:32:56.699076262Z stdout F {"protocol":"HTTP/1.1","start_time":"2022-05-09T22:32:55.189Z","response_code_details":"via_upstream","upstream_local_address":"10.244.0.118:32886","upstream_service_time":"674","x_forwarded_for":null,"upstream_transport_failure_reason":null,"user_agent":"python-requests/2.26.0","upstream_host":"10.96.154.248:12031","downstream_remote_address":"10.244.0.118:41748","bytes_received":112,"response_code":200,"bytes_sent":47,"duration":675,"upstream_cluster":"PassthroughCluster","route_name":"allow_any","downstream_local_address":"10.96.154.248:12031","authority":"ts-travel-service:12346","requested_server_name":null,"method":"POST","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","path":"/api/v1/orderservice/order/tickets","connection_termination_details":null,"response_flags":"-"}
2022-05-09T22:32:56.699093367Z stdout F {"requested_server_name":null,"upstream_transport_failure_reason":null,"duration":16,"response_code":200,"upstream_local_address":"10.244.0.118:41984","authority":"ts-travel-service:12346","upstream_cluster":"outbound|12346||ts-travel-service.default.svc.cluster.local","user_agent":"python-requests/2.26.0","bytes_received":0,"x_forwarded_for":null,"path":"/api/v1/travelservice/train_types/G1236","protocol":"HTTP/1.1","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","bytes_sent":125,"connection_termination_details":null,"response_flags":"-","start_time":"2022-05-09T22:32:55.866Z","downstream_local_address":"10.96.119.129:12346","response_code_details":"via_upstream","method":"GET","route_name":"default","upstream_host":"10.244.0.129:12346","downstream_remote_address":"10.244.0.118:36500","upstream_service_time":"15"}
2022-05-09T22:32:56.699097331Z stdout F {"response_code_details":"via_upstream","bytes_sent":190,"upstream_service_time":"13","upstream_host":"10.96.119.129:12346","authority":"ts-preserve-service:14568","upstream_local_address":"10.244.0.118:46964","route_name":"allow_any","duration":14,"start_time":"2022-05-09T22:32:55.871Z","upstream_cluster":"PassthroughCluster","protocol":"HTTP/1.1","downstream_remote_address":"10.244.0.118:39152","path":"/api/v1/travelservice/routes/D1345","upstream_transport_failure_reason":null,"requested_server_name":null,"request_id":"c5ccf371-59d8-93f2-823c-122942036948","response_code":200,"x_forwarded_for":null,"downstream_local_address":"10.96.119.129:12346","connection_termination_details":null,"bytes_received":0,"response_flags":"-","method":"GET","user_agent":"python-requests/2.26.0"}
2022-05-09T22:32:56.699100124Z stdout F {"duration":7,"response_code":200,"requested_server_name":null,"route_name":"allow_any","response_code_details":"via_upstream","bytes_received":0,"connection_termination_details":null,"upstream_transport_failure_reason":null,"upstream_host":"10.96.5.54:15679","path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","x_forwarded_for":null,"upstream_local_address":"10.244.0.118:52328","downstream_local_address":"10.96.5.54:15679","response_flags":"-","bytes_sent":172,"upstream_service_time":"6","downstream_remote_address":"10.244.0.118:37128","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","start_time":"2022-05-09T22:32:55.885Z","method":"GET","protocol":"HTTP/1.1","upstream_cluster":"PassthroughCluster","authority":"ts-travel-service:12346","user_agent":"python-requests/2.26.0"}
2022-05-09T22:32:56.699102815Z stdout F {"response_code":200,"response_code_details":"via_upstream","upstream_local_address":"127.0.0.6:33019","connection_termination_details":null,"protocol":"HTTP/1.1","downstream_remote_address":"10.244.0.129:36714","path":"/api/v1/seatservice/seats/left_tickets","bytes_received":112,"upstream_service_time":"727","user_agent":"python-requests/2.26.0","downstream_local_address":"10.244.0.118:18898","response_flags":"-","authority":"ts-travel-service:12346","requested_server_name":null,"upstream_cluster":"inbound|18898||","method":"POST","route_name":"default","bytes_sent":74,"start_time":"2022-05-09T22:32:55.166Z","upstream_transport_failure_reason":null,"upstream_host":"10.244.0.118:18898","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","duration":727,"x_forwarded_for":null}
2022-05-09T22:32:56.699105517Z stdout F {"upstream_local_address":"10.244.0.118:41978","duration":12,"downstream_local_address":"10.96.119.129:12346","method":"GET","authority":"ts-travel-service:12346","start_time":"2022-05-09T22:32:56.113Z","bytes_sent":190,"x_forwarded_for":null,"route_name":"default","downstream_remote_address":"10.244.0.118:39152","upstream_service_time":"11","request_id":"118b97b2-9244-9516-ac44-91d70e51bb2c","path":"/api/v1/travelservice/routes/G1237","upstream_transport_failure_reason":null,"upstream_host":"10.244.0.129:12346","response_flags":"-","requested_server_name":null,"connection_termination_details":null,"bytes_received":0,"response_code":200,"response_code_details":"via_upstream","user_agent":"python-requests/2.26.0","protocol":"HTTP/1.1","upstream_cluster":"outbound|12346||ts-travel-service.default.svc.cluster.local"}
2022-05-09T22:32:56.699144617Z stdout F {"upstream_service_time":"990","route_name":"allow_any","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","bytes_received":112,"downstream_remote_address":"10.244.0.118:40422","method":"POST","x_forwarded_for":null,"response_code_details":"via_upstream","user_agent":"python-requests/2.26.0","upstream_local_address":"10.244.0.118:40424","upstream_cluster":"PassthroughCluster","authority":"ts-preserve-service:14568","connection_termination_details":null,"response_flags":"-","duration":990,"downstream_local_address":"10.96.154.248:12031","response_code":200,"upstream_host":"10.96.154.248:12031","requested_server_name":null,"start_time":"2022-05-09T22:32:55.170Z","path":"/api/v1/orderservice/order/tickets","bytes_sent":23877,"protocol":"HTTP/1.1","upstream_transport_failure_reason":null}
