Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,1990,0,50,390.302636263318,5.8202840000376455,47337.98529699999,9683.906532663317,1.1070772165424483,0.0,25,50,160,210,410,820,3000,6400,47000,47000,47000
GET,cancel_last_order_with_no_refund,121,0,300.0,891.9030967685902,77.66712700004064,22200.41640200003,52.0,0.06731474532745539,0.0,190,300,530,670,1000,1600,7800,21000,22000,22000,22000
POST,create_user,999,0,640.0,1089.7983163323315,174.4140640000751,45719.997175,319.02202202202204,0.5557638891084954,0.0,410,640,1000,1100,1600,2200,4400,6900,46000,46000,46000
POST,get_voucher_of_last_order,123,1,190.0,1329.1132981707349,54.88613100010298,64228.33969600003,278.8780487804878,0.06842738574609102,0.0005563202093178132,140,190,310,370,1000,5700,16000,22000,64000,64000,64000
GET,home,783,0,13,52.34265334610341,5.907536999984586,4123.536115000093,18128.0,0.4355987238958477,0.0,10,13,23,26,78,180,450,710,4100,4100,4100
POST,login,499,0,600.0,829.6909756412822,183.04531800004042,19931.938419000064,412.0,0.2776037844495888,0.0,370,600,960,1100,1400,1800,3400,4100,20000,20000,20000
GET,navigate_to_client_login,499,0,12,42.88906690180404,5.502006000028814,3361.944685000026,12241.0,0.2776037844495888,0.0,9,12,21,24,46,94,270,640,3400,3400,3400
GET,pick_up_ticket,117,0,61,426.70251557266243,23.860824000166758,20770.056921000105,65.0,0.06508946449018414,0.0,40,61,120,150,260,470,1900,15000,21000,21000,21000
PUT,pick_up_ticket,117,0,200.0,567.8548401367468,63.83376999997381,21939.72714800003,391.0,0.06508946449018414,0.0,110,200,370,430,650,1900,3600,3700,22000,22000,22000
POST,set_new_contact,1483,0,120.0,377.21132238975036,16.300819999969463,32773.06307399999,286.60080917060014,0.8250228704183169,0.0,59,120,250,310,530,890,1800,4000,33000,33000,33000
,Aggregated,6731,1,110.0,488.631899433217,5.502006000028814,64228.33969600003,6034.277670479869,3.7445913289182005,0.0005563202093178132,28,110,390,500,900,1400,2700,5400,46000,64000,64000
