Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,4416,0,25,81.69859835326258,4.93175099995824,13263.593823999998,9674.75,2.454896921242249,0.0,15,25,72,90,140,240,400,670,9200,13000,13000
GET,cancel_last_order_with_no_refund,276,0,120.0,235.09466165941666,46.10520699998233,15707.121173000005,52.0,0.15343105757764056,0.0,84,120,190,220,350,510,800,1500,16000,16000,16000
POST,create_user,2212,0,540.0,678.9680691035278,127.63787699987006,14712.960366000005,319.0,1.2296720991367425,0.0,330,540,810,880,1100,1500,2100,2600,11000,15000,15000
POST,get_voucher_of_last_order,276,0,99,146.21542346014095,40.50491699990744,4217.654850000003,280.0833333333333,0.15343105757764056,0.0,71,99,140,160,220,300,690,900,4200,4200,4200
GET,home,1637,0,10,17.446862204034208,4.700065999941216,4324.903380000023,18128.0,0.910024062516658,0.0,8,10,14,15,21,32,61,110,590,4300,4300
POST,login,1105,0,540.0,634.8295667212648,173.74337100000048,13805.058058999975,412.0,0.6142801399394667,0.0,300,540,780,850,1100,1300,1900,2500,6600,14000,14000
GET,navigate_to_client_login,1106,0,9,12.354581269438905,4.611319000105141,189.1686449999952,12241.0,0.6148360495683712,0.0,7,9,12,14,19,26,44,64,180,190,190
GET,pick_up_ticket,271,0,30,90.06075153137053,12.728369999877032,13170.539089000002,65.0,0.15065150943311809,0.0,23,30,40,45,74,110,190,260,13000,13000,13000
PUT,pick_up_ticket,271,0,66,130.30033246863562,23.74066800007313,8297.110565999987,391.0,0.15065150943311809,0.0,50,66,120,140,190,270,410,630,8300,8300,8300
POST,set_new_contact,3310,0,61,166.7208704160114,12.314551000145002,44601.602807,287.49244712990935,1.8400608716738778,0.0,33,61,120,130,210,330,530,840,44000,45000,45000
,Aggregated,14880,0,50,223.33166996357545,4.611319000105141,44601.602807,5931.821034946237,8.271935278098882,0.0,17,50,220,310,620,870,1200,1700,9200,44000,45000
