2022-04-30T04:27:29.577283079Z stdout F {"t":{"$date":"2022-04-30T04:27:29.575+00:00"},"s":"I",  "c":"NETWORK",  "id":4915701, "ctx":"-","msg":"Initialized wire specification","attr":{"spec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":13},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":13},"outgoing":{"minWireVersion":0,"maxWireVersion":13},"isInternalClient":true}}}
2022-04-30T04:27:29.579394581Z stdout F {"t":{"$date":"2022-04-30T04:27:29.578+00:00"},"s":"I",  "c":"CONTROL",  "id":23285,   "ctx":"main","msg":"Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'"}
2022-04-30T04:27:29.579471232Z stdout F {"t":{"$date":"2022-04-30T04:27:29.578+00:00"},"s":"W",  "c":"ASIO",     "id":22601,   "ctx":"main","msg":"No TransportLayer configured during NetworkInterface startup"}
2022-04-30T04:27:29.579567863Z stdout F {"t":{"$date":"2022-04-30T04:27:29.578+00:00"},"s":"I",  "c":"NETWORK",  "id":4648601, "ctx":"main","msg":"Implicit TCP FastOpen unavailable. If TCP FastOpen is required, set tcpFastOpenServer, tcpFastOpenClient, and tcpFastOpenQueueSize."}
2022-04-30T04:27:29.597682505Z stdout F {"t":{"$date":"2022-04-30T04:27:29.597+00:00"},"s":"W",  "c":"ASIO",     "id":22601,   "ctx":"main","msg":"No TransportLayer configured during NetworkInterface startup"}
2022-04-30T04:27:29.598487154Z stdout F {"t":{"$date":"2022-04-30T04:27:29.598+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationDonorService","ns":"config.tenantMigrationDonors"}}
2022-04-30T04:27:29.598575448Z stdout F {"t":{"$date":"2022-04-30T04:27:29.598+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationRecipientService","ns":"config.tenantMigrationRecipients"}}
2022-04-30T04:27:29.598663372Z stdout F {"t":{"$date":"2022-04-30T04:27:29.598+00:00"},"s":"I",  "c":"CONTROL",  "id":5945603, "ctx":"main","msg":"Multi threading initialized"}
2022-04-30T04:27:29.601642931Z stdout F {"t":{"$date":"2022-04-30T04:27:29.601+00:00"},"s":"I",  "c":"CONTROL",  "id":4615611, "ctx":"initandlisten","msg":"MongoDB starting","attr":{"pid":1,"port":27017,"dbPath":"/data/db","architecture":"64-bit","host":"ts-ticket-office-mongo-6f4b5d8c45-4dcxn"}}
2022-04-30T04:27:29.601880547Z stdout F {"t":{"$date":"2022-04-30T04:27:29.601+00:00"},"s":"I",  "c":"CONTROL",  "id":23403,   "ctx":"initandlisten","msg":"Build Info","attr":{"buildInfo":{"version":"5.0.8","gitVersion":"c87e1c23421bf79614baf500fda6622bd90f674e","openSSLVersion":"OpenSSL 1.1.1f  31 Mar 2020","modules":[],"allocator":"tcmalloc","environment":{"distmod":"ubuntu2004","distarch":"x86_64","target_arch":"x86_64"}}}}
2022-04-30T04:27:29.602483786Z stdout F {"t":{"$date":"2022-04-30T04:27:29.602+00:00"},"s":"I",  "c":"CONTROL",  "id":51765,   "ctx":"initandlisten","msg":"Operating System","attr":{"os":{"name":"Ubuntu","version":"20.04"}}}
2022-04-30T04:27:29.602526614Z stdout F {"t":{"$date":"2022-04-30T04:27:29.602+00:00"},"s":"I",  "c":"CONTROL",  "id":21951,   "ctx":"initandlisten","msg":"Options set by command line","attr":{"options":{"net":{"bindIp":"*"}}}}
2022-04-30T04:27:29.606934392Z stdout F {"t":{"$date":"2022-04-30T04:27:29.606+00:00"},"s":"I",  "c":"STORAGE",  "id":22297,   "ctx":"initandlisten","msg":"Using the XFS filesystem is strongly recommended with the WiredTiger storage engine. See http://dochub.mongodb.org/core/prodnotes-filesystem","tags":["startupWarnings"]}
2022-04-30T04:27:29.607130072Z stdout F {"t":{"$date":"2022-04-30T04:27:29.606+00:00"},"s":"I",  "c":"STORAGE",  "id":22315,   "ctx":"initandlisten","msg":"Opening WiredTiger","attr":{"config":"create,cache_size=10505M,session_max=33000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),builtin_extension_config=(zstd=(compression_level=6)),file_manager=(close_idle_time=600,close_scan_interval=10,close_handle_minimum=250),statistics_log=(wait=0),verbose=[recovery_progress,checkpoint_progress,compact_progress],"}}
2022-04-30T04:27:31.21914047Z stdout F {"t":{"$date":"2022-04-30T04:27:31.218+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1651292851:218116][1:0x7f249a155c80], txn-recover: [WT_VERB_RECOVERY_ALL] Set global recovery timestamp: (0, 0)"}}
2022-04-30T04:27:31.219261917Z stdout F {"t":{"$date":"2022-04-30T04:27:31.218+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1651292851:218309][1:0x7f249a155c80], txn-recover: [WT_VERB_RECOVERY_ALL] Set global oldest timestamp: (0, 0)"}}
2022-04-30T04:27:31.225491304Z stdout F {"t":{"$date":"2022-04-30T04:27:31.222+00:00"},"s":"I",  "c":"STORAGE",  "id":4795906, "ctx":"initandlisten","msg":"WiredTiger opened","attr":{"durationMillis":1616}}
2022-04-30T04:27:31.225554781Z stdout F {"t":{"$date":"2022-04-30T04:27:31.222+00:00"},"s":"I",  "c":"RECOVERY", "id":23987,   "ctx":"initandlisten","msg":"WiredTiger recoveryTimestamp","attr":{"recoveryTimestamp":{"$timestamp":{"t":0,"i":0}}}}
2022-04-30T04:27:31.271206569Z stdout F {"t":{"$date":"2022-04-30T04:27:31.264+00:00"},"s":"I",  "c":"STORAGE",  "id":4366408, "ctx":"initandlisten","msg":"No table logging settings modifications are required for existing WiredTiger tables","attr":{"loggingEnabled":true}}
2022-04-30T04:27:31.271246059Z stdout F {"t":{"$date":"2022-04-30T04:27:31.265+00:00"},"s":"I",  "c":"STORAGE",  "id":22262,   "ctx":"initandlisten","msg":"Timestamp monitor starting"}
2022-04-30T04:27:31.288424732Z stdout F {"t":{"$date":"2022-04-30T04:27:31.284+00:00"},"s":"W",  "c":"CONTROL",  "id":22120,   "ctx":"initandlisten","msg":"Access control is not enabled for the database. Read and write access to data and configuration is unrestricted","tags":["startupWarnings"]}
